[LOG] INFO [IExchangeSimulator::setLoggerLogFile] Logger log file set to: RegressionTests/Baseline/ZeroIntelligenceSimulatorSimpleSantaFeModelLargeTime.baseline.txt
[LOG] INFO Lobster messages:
    time,    type,     oid,     qty,      px,     dir
    5495,       1,    1098,       5,11000000,      -1
   54993,       2,      22,       1, 9770000,       1
   54997,       2,       2,       1, 9970000,       1
   55001,       2,       4,       1, 9950000,       1
   55005,       2,      20,       1, 9790000,       1
   55009,       2,      28,       1, 9710000,       1
   55013,       3,     999,       1,10010000,      -1
   55019,       4,   10998,       1, 9990000,      -1
   55026,       1,   10999,       1,10000000,       1
   55031,       1,   11000,       1, 9900000,       1
   55036,       1,   11001,       1,10150000,      -1
   55039,       2,    1013,       1,10150000,      -1
   55045,       4,   11002,       1,10000000,      -1
   55050,       3,       1,       1, 9980000,       1
   55056,       1,   11003,       1, 9920000,       1
   55059,       2,    1004,       1,10060000,      -1
   55065,       1,   11004,       1, 9940000,       1
   55070,       1,   11005,       1, 9880000,       1
   55075,       4,   11006,       1, 9970000,      -1
   55082,       1,   11007,       1, 9990000,       1
   55085,       2,      16,       1, 9830000,       1
   55089,       2,    1023,       1,10250000,      -1
   55093,       2,    1016,       1,10180000,      -1
   55097,       2,    1007,       1,10090000,      -1
   55103,       1,   11008,       1, 9720000,       1
   55108,       1,   11009,       1, 9810000,       1
   55113,       4,   11010,       1,10020000,       1
   55118,       2,    1017,       1,10190000,      -1
   55122,       2,    1025,       1,10270000,      -1
   55126,       2,       4,       1, 9950000,       1
   55132,       1,   11011,       1,10190000,      -1
   55135,       2,      16,       1, 9830000,       1
   55141,       1,   11012,       1,10250000,      -1
   55144,       2,       8,       1, 9910000,       1
   55150,       4,   11013,       1, 9990000,      -1
   55157,       4,   11014,       1,10030000,       1
   55164,       1,   11015,       1,10110000,      -1
   55167,       2,    1004,       1,10060000,      -1
   55171,       2,    1005,       1,10070000,      -1
   55175,       2,    1017,       1,10190000,      -1
   55179,       2,    1008,       1,10100000,      -1
   55185,       4,   11016,       1,10030000,       1
   55192,       1,   11017,       1,10000000,       1
   55197,       1,   11018,       1, 9840000,       1
   55200,       2,      17,       1, 9820000,       1
   55206,       4,   11019,       1,10040000,       1
   55213,       1,   11020,       1, 9890000,       1
   55216,       2,    1009,       1,10110000,      -1
   55222,       1,   11021,       1, 9800000,       1
   55225,       2,       3,       1, 9960000,       1
   55231,       1,   11022,       1, 9940000,       1
   55234,       2,      25,       1, 9740000,       1
   55240,       1,   11023,       1,10130000,      -1
   55245,       4,   11024,       1,10040000,       1
   55250,       2,    1016,       1,10180000,      -1
   55256,       1,   11025,       1,10180000,      -1
   55261,       4,   11026,       1,10050000,       1
   55268,       1,   11027,       1,10150000,      -1
   55271,       2,      20,       1, 9790000,       1
   55275,       2,      13,       1, 9860000,       1
   55279,       2,    1011,       1,10130000,      -1
   55285,       1,   11028,       1,10240000,      -1
   55290,       1,   11029,       1,10020000,       1
   55295,       1,   11030,       1,10270000,      -1
   55298,       2,    1008,       1,10100000,      -1
   55302,       3,   11015,       1,10110000,      -1
   55308,       1,   11031,       1,10180000,      -1
   55313,       1,   11032,       1,10310000,      -1
   55316,       2,    1008,       1,10100000,      -1
   55322,       1,   11033,       1,10280000,      -1
   55325,       2,      22,       1, 9770000,       1
   55329,       2,    1024,       1,10260000,      -1
   55333,       3,   11001,       1,10150000,      -1
   55337,       2,    1010,       1,10120000,      -1
   55343,       1,   11034,       1, 9880000,       1
   55346,       3,   11029,       1,10020000,       1
   55350,       2,      10,       1, 9890000,       1
   55354,       3,   11023,       1,10130000,      -1
   55358,       2,    1019,       1,10210000,      -1
   55364,       1,   11035,       1,10290000,      -1
   55367,       2,    1014,       1,10160000,      -1
   55373,       1,   11036,       1,10200000,      -1
   55376,       2,      13,       1, 9860000,       1
   55380,       3,    1004,       1,10060000,      -1
   55384,       2,    1010,       1,10120000,      -1
   55388,       2,    1027,       1,10290000,      -1
   55394,       1,   11037,       1,10180000,      -1
   55397,       2,       9,       1, 9900000,       1
   55403,       1,   11038,       1, 9890000,       1
   55408,       1,   11039,       1, 9990000,       1
   55411,       2,       6,       1, 9930000,       1
   55415,       2,       7,       1, 9920000,       1
   55421,       1,   11040,       1,10000000,       1
   55426,       1,   11041,       1,10170000,      -1
   55431,       1,   11042,       1, 9820000,       1
   55434,       3,   11017,       1,10000000,       1
   55438,       3,   11039,       1, 9990000,       1
   55444,       1,   11043,       1,10010000,       1
   55449,       4,   11044,       1,10010000,      -1
   55456,       1,   11045,       1,10110000,      -1
   55461,       1,   11046,       1,10250000,      -1
   55464,       3,   11040,       1,10000000,       1
   55470,       1,   11047,       1,10060000,      -1
   55473,       2,      24,       1, 9750000,       1
   55479,       1,   11048,       1,10030000,      -1
   55484,       1,   11049,       1,10010000,      -1
   55489,       1,   11050,       1,10180000,      -1
   55494,       4,   11051,       1,10010000,       1
   55501,       1,   11052,       1,10040000,      -1
   55506,       1,   11053,       1, 9850000,       1
   55509,       2,      24,       1, 9750000,       1
   55515,       1,   11054,       1, 9760000,       1
   55520,       1,   11055,       1,10160000,      -1
   55523,       2,    1011,       1,10130000,      -1
   55527,       2,      16,       1, 9830000,       1
   55533,       1,   11056,       1, 9830000,       1
   55538,       4,   11057,       1,10030000,       1
   55545,       1,   11058,       1,10020000,      -1
   55550,       4,   11059,       1, 9960000,      -1
   55555,       2,      15,       1, 9840000,       1
   55559,       2,      26,       1, 9730000,       1
   55563,       3,       4,       1, 9950000,       1
   55567,       2,      17,       1, 9820000,       1
   55571,       2,    1021,       1,10230000,      -1
   55575,       2,    1015,       1,10170000,      -1
   55579,       2,    1013,       1,10150000,      -1
   55585,       1,   11060,       1,10190000,      -1
   55588,       3,   11041,       1,10170000,      -1
   55594,       1,   11061,       1, 9780000,       1
   55599,       1,   11062,       1, 9900000,       1
   55604,       1,   11063,       1,10060000,      -1
   55607,       3,   11020,       1, 9890000,       1
   55613,       1,   11064,       1,10050000,      -1
   55616,       2,      14,       1, 9850000,       1
   55620,       3,   11053,       1, 9850000,       1
   55624,       3,   11011,       1,10190000,      -1
   55630,       4,   11065,       1,10020000,       1
   55635,       3,   11027,       1,10150000,      -1
   55641,       1,   11066,       1,10160000,      -1
   55646,       1,   11067,       1, 9890000,       1
   55651,       1,   11068,       1, 9830000,       1
   55656,       4,   11069,       1,10040000,       1
   55661,       2,    1010,       1,10120000,      -1
   55665,       2,    1012,       1,10140000,      -1
   55671,       1,   11070,       1, 9780000,       1
   55674,       2,    1007,       1,10090000,      -1
   55678,       2,    1005,       1,10070000,      -1
   55682,       2,    1022,       1,10240000,      -1
   55688,       4,   11071,       1, 9940000,      -1
   55693,       3,   11028,       1,10240000,      -1
   55697,       2,    1020,       1,10220000,      -1
   55701,       3,   11000,       1, 9900000,       1
   55707,       1,   11072,       1, 9990000,      -1
   55710,       2,      20,       1, 9790000,       1
